Width,Height,SnipW,SnipH,temLeftX,temLeftY,temRightX,temRightY,Aspect Ratio,Resolution
1920,1080,160,30,1175,26,1573,81,16x9,1920x1080
1600,900,150,27,977,20,1308,67,16x9,1600x900
1366,768,130,25,834,18,1117,57,16x9,1366x768
1360,768,130,25,834,18,1117,57,16x9,1360x768
1280,720,125,23,781,17,1047,53,16x9,1280x720
1176,664,120,22,718,15,962,49,16x9,1176x664
1680,1050,150,33,1025,20,1374,26,16x10,1680x1050
1440,900,140,25,880,19,1179,61,16x10,1440x900
1280,800,130,23,783,17,1048,53,16x10,1280x800
1280,1024,130,25,783,17,1048,53,5x4,1280x1024
720,576,90,15,440,9,589,29,5x4,720x576
1280,768,130,25,783,16,1048,54,5x3,1280x768
1280,960,130,27,783,16,1048,53,4x3,1280x960
1152,864,125,25,704,14,943,48,4x3,1152x864
1024,768,120,22,626,12,837,42,4x3,1024x768
800,600,100,16,489,9,654,33,4x3,800x600
640,480,90,12,390,8,523,26,4x3,640x480
720,480,90,16,439,8,589,29,3x2,720x480
1600,1024,150,29,976,21,1309,67,25x16,1600x1024
3440,1440,289,49,2428,31,2961,104,21x9,3440x1440
3840,2160,319,60,2351,53,3147,163,16x9,3840x2160
2560,1440,220,49,1567,35,2098,108,16x9,2560x1440
